customer_id,customer_age,customer_region,customer_tenure_months,order_id,order_value,items_quantity,discount_value,payment_installments,delivery_time_days,delivery_delay_days,freight_value,delivery_attempts,customer_service_contacts,resolution_time_days,nps_score,repeat_purchase_30d,complaints_count,csat_internal_score,classificacao_nps,eh_detrator,teve_atraso,teve_reclamacao,contatou_sac,severidade_problemas,desconto_pct
1,63,Nordeste,14,50001,139.73,4,39.35,4,2,2,55.53,3,0,4,6.9,0,3,6.5,Detrator,1,1,1,0,2,0.28161454233163963
2,20,Sul,1,50002,458.95,2,9.51,10,6,4,28.23,3,0,10,2.4,0,3,0.0,Detrator,1,1,1,0,2,0.020721211460943457
3,46,Nordeste,111,50003,507.06,5,42.82,6,6,1,40.99,1,4,5,4.8,0,7,1.5,Detrator,1,1,1,1,3,0.08444759988955942
4,52,Centro-Oeste,117,50004,302.19,2,19.58,9,5,2,35.24,3,1,11,5.9,0,4,0.3,Detrator,1,1,1,1,3,0.06479367285482643
5,56,Norte,50,50005,253.06,1,29.37,11,13,1,39.32,1,1,0,6.1,0,3,7.9,Detrator,1,1,1,1,3,0.11605943254564136
6,35,Sudeste,75,50006,568.76,6,36.58,3,4,5,41.82,2,2,3,0.9,0,5,1.5,Detrator,1,1,1,1,3,0.06431535269709543
7,37,Sudeste,68,50007,41.29,3,99.62,6,8,3,35.83,3,3,4,1.4,0,6,0.6,Detrator,1,1,1,1,3,2.4126907241462825
8,60,Sul,37,50008,428.76,4,29.54,10,11,5,44.5,1,0,2,0.0,0,2,4.1,Detrator,1,1,1,0,2,0.06889635227166713
9,40,Sul,60,50009,121.56,3,91.95,6,6,3,24.88,2,1,9,6.2,0,3,0.8,Detrator,1,1,1,1,3,0.756416584402764
10,51,Sudeste,70,50010,411.01,6,37.47,3,9,2,30.59,1,0,7,2.7,0,2,4.2,Detrator,1,1,1,0,2,0.09116566506897643
11,50,Centro-Oeste,28,50011,616.17,2,23.0,8,4,2,52.94,3,0,7,5.3,0,6,2.7,Detrator,1,1,1,0,2,0.037327360955580445
12,67,Norte,81,50012,509.48,2,10.42,1,11,1,46.92,2,1,3,7.0,0,2,5.8,Neutro,0,1,1,1,3,0.02045222579885373
13,65,Centro-Oeste,85,50013,588.28,6,12.54,5,11,2,28.67,2,1,9,3.7,0,4,0.4,Detrator,1,1,1,1,3,0.02131637995512341
14,27,Sudeste,42,50014,165.19,5,52.82,5,10,1,63.92,3,0,8,2.9,0,2,3.5,Detrator,1,1,1,0,2,0.31975301168351594
15,50,Sudeste,113,50015,220.81,3,30.73,6,7,3,45.96,1,1,4,2.7,0,3,2.4,Detrator,1,1,1,1,3,0.139169421674743
16,64,Norte,114,50016,732.83,2,13.24,8,9,3,46.78,2,1,8,6.0,0,2,0.0,Detrator,1,1,1,1,3,0.018066945949265178
17,50,Norte,70,50017,391.66,4,0.25,11,3,2,59.78,2,1,6,1.9,0,4,2.7,Detrator,1,1,1,1,3,0.0006383087371699943
18,65,Sul,21,50018,483.04,1,28.08,1,12,3,44.76,2,1,10,4.8,0,4,0.0,Detrator,1,1,1,1,3,0.0581318317323617
19,43,Sul,86,50019,383.98,3,33.61,11,3,4,25.24,2,2,3,3.4,0,4,2.0,Detrator,1,1,1,1,3,0.08753060055211208
20,37,Centro-Oeste,74,50020,288.93,2,20.8,9,9,2,62.02,1,1,3,2.0,0,4,5.0,Detrator,1,1,1,1,3,0.07198975530405288
21,32,Sudeste,105,50021,390.01,2,84.53,8,9,2,35.9,2,1,6,5.7,0,4,2.6,Detrator,1,1,1,1,3,0.21673803235814468
22,54,Centro-Oeste,68,50022,480.03,3,14.53,1,4,4,47.91,1,3,8,0.0,0,5,0.0,Detrator,1,1,1,1,3,0.030268941524488054
23,50,Sul,81,50023,578.34,3,28.67,5,2,0,38.37,1,0,2,10.0,1,0,8.6,Promotor,0,0,0,0,0,0.04957291558598748
24,34,Nordeste,119,50024,489.49,6,8.44,3,3,3,24.72,2,2,2,3.3,0,4,3.2,Detrator,1,1,1,1,3,0.017242436004821345
25,22,Norte,20,50025,184.64,5,70.89,3,13,1,37.85,2,2,10,3.2,0,4,0.5,Detrator,1,1,1,1,3,0.38393630849220106
26,67,Sudeste,79,50026,100.97,2,31.04,7,6,2,33.59,2,2,0,5.1,0,4,5.9,Detrator,1,1,1,1,3,0.30741804496385067
27,21,Sudeste,26,50027,411.6,5,4.05,1,7,2,28.95,3,2,0,9.1,1,4,6.3,Promotor,0,1,1,1,3,0.009839650145772594
28,20,Nordeste,101,50028,751.24,4,34.33,5,10,4,41.19,3,0,6,5.1,0,4,1.8,Detrator,1,1,1,0,2,0.04569777967094404
29,38,Sudeste,119,50029,522.15,3,79.0,3,13,5,29.29,2,1,9,0.3,0,3,0.0,Detrator,1,1,1,1,3,0.15129751986976922
30,57,Sudeste,86,50030,337.52,2,0.11,2,13,2,35.95,3,1,2,3.8,0,3,5.4,Detrator,1,1,1,1,3,0.00032590661294145534
31,20,Nordeste,39,50031,478.48,2,1.91,5,13,1,19.27,3,2,1,4.2,0,5,6.7,Detrator,1,1,1,1,3,0.00399180739006855
32,38,Sul,71,50032,479.29,3,16.0,6,14,1,45.69,3,0,10,4.9,0,3,2.0,Detrator,1,1,1,0,2,0.033382711928060256
33,65,Norte,57,50033,385.12,1,5.05,6,13,4,43.54,2,2,5,0.0,0,4,0.7,Detrator,1,1,1,1,3,0.013112796011632738
34,66,Sul,41,50034,366.75,6,12.65,6,10,3,38.42,1,1,7,4.2,0,3,1.8,Detrator,1,1,1,1,3,0.034492160872528974
35,25,Nordeste,16,50035,366.75,4,65.08,8,11,1,22.0,3,2,0,7.0,0,3,6.3,Neutro,0,1,1,1,3,0.1774505794137696
36,59,Centro-Oeste,106,50036,348.26,4,4.9,6,14,1,31.64,1,2,1,6.8,0,3,5.7,Detrator,1,1,1,1,3,0.014069947740194108
37,53,Norte,23,50037,557.8,4,0.31,9,8,5,44.25,1,3,10,0.0,0,5,0.0,Detrator,1,1,1,1,3,0.0005557547508067408
38,46,Centro-Oeste,3,50038,1120.9,4,57.57,5,13,2,40.75,2,4,0,4.9,0,6,4.0,Detrator,1,1,1,1,3,0.051360513872780796
39,56,Sudeste,119,50039,448.04,3,21.23,8,11,1,28.03,3,2,8,4.4,0,5,1.8,Detrator,1,1,1,1,3,0.047384162128381396
40,51,Norte,5,50040,109.66,6,5.88,6,14,1,33.27,3,0,11,4.2,0,3,1.4,Detrator,1,1,1,0,2,0.05362028086813788
41,39,Centro-Oeste,73,50041,485.01,6,9.19,11,6,3,53.99,3,0,8,3.3,0,2,2.1,Detrator,1,1,1,0,2,0.018948062926537595
42,48,Centro-Oeste,15,50042,117.97,2,28.35,5,2,3,28.02,2,2,11,1.8,0,6,0.0,Detrator,1,1,1,1,3,0.24031533440705266
43,45,Centro-Oeste,26,50043,279.65,4,15.44,6,5,2,52.15,3,0,4,5.3,0,3,4.7,Detrator,1,1,1,0,2,0.05521187198283569
44,52,Sudeste,14,50044,477.19,4,15.71,3,4,0,53.94,3,1,2,5.6,0,4,7.6,Detrator,1,0,1,1,2,0.03292189693832646
45,51,Norte,42,50045,144.56,1,15.57,11,14,2,46.54,3,1,3,2.6,0,3,4.5,Detrator,1,1,1,1,3,0.10770614277808523
46,30,Sul,114,50046,349.17,3,12.78,11,12,1,28.64,2,1,7,4.5,0,4,3.1,Detrator,1,1,1,1,3,0.03660108256723086
47,58,Sudeste,33,50047,461.42,3,27.91,3,4,6,45.25,2,1,0,2.3,0,5,2.5,Detrator,1,1,1,1,3,0.06048719171253955
48,21,Norte,26,50048,431.62,5,15.21,1,9,3,45.21,2,3,5,3.4,0,6,0.7,Detrator,1,1,1,1,3,0.03523933089291507
49,60,Centro-Oeste,67,50049,663.31,6,37.22,10,6,4,45.09,1,2,9,0.7,0,6,0.0,Detrator,1,1,1,1,3,0.05611252657128643
50,23,Nordeste,20,50050,370.76,6,15.12,2,10,1,28.55,3,1,8,6.6,0,2,2.3,Detrator,1,1,1,1,3,0.04078109828460459
51,18,Nordeste,19,50051,375.57,5,13.63,11,8,4,56.09,1,1,4,0.6,0,5,1.9,Detrator,1,1,1,1,3,0.03629150358122321
52,29,Sudeste,39,50052,711.22,6,4.92,2,2,1,28.2,1,3,2,4.5,0,6,5.8,Detrator,1,1,1,1,3,0.006917690728607181
53,52,Sul,49,50053,1220.13,4,8.98,8,2,1,47.14,1,1,2,4.8,0,3,5.8,Detrator,1,1,1,1,3,0.00735987148910362
54,28,Sul,69,50054,329.96,1,37.51,8,4,1,41.91,3,2,4,3.9,0,5,3.7,Detrator,1,1,1,1,3,0.11368044611468058
55,40,Norte,95,50055,398.94,2,5.22,7,2,2,67.63,3,0,1,5.8,0,3,6.9,Detrator,1,1,1,0,2,0.013084674387125883
56,31,Nordeste,20,50056,409.54,6,0.82,4,8,3,45.69,3,1,6,4.0,0,5,1.8,Detrator,1,1,1,1,3,0.002002246422815842
