,v1,v2,delta,delta_abs
customer_service_contacts,-0.35084495603926846,-0.2937157980055888,0.05712915803367968,0.05712915803367968
delivery_delay_days,-0.5972599425164108,-0.5483205566832132,0.04893938583319757,0.04893938583319757
csat_internal_score,0.563952261879089,0.529216811134584,-0.034735450744505014,0.034735450744505014
repeat_purchase_30d,0.5703242098901881,0.600913483476737,0.03058927358654895,0.03058927358654895
complaints_count,-0.49679973420162343,-0.46749225061582705,0.02930748358579638,0.02930748358579638
items_quantity,0.01146819589464294,0.0013204054335138134,-0.010147790461129126,0.010147790461129126
customer_age,-0.009936291558880093,-6.442576785587453e-05,0.009871865791024219,0.009871865791024219
payment_installments,0.023717655461724718,0.03138239410218647,0.00766473864046175,0.00766473864046175
delivery_attempts,0.027679628593039636,0.021628212618354462,-0.006051415974685174,0.006051415974685174
delivery_time_days,0.0009249524195084167,0.0062395071376987075,0.005314554718190291,0.005314554718190291
resolution_time_days,-0.19139177304054505,-0.1876549898600964,0.0037367831804486495,0.0037367831804486495
freight_value,-0.04108718993080978,-0.037559635556145964,0.003527554374663816,0.003527554374663816
discount_value,0.02510357968550841,0.022215781946447192,-0.0028877977390612194,0.0028877977390612194
order_value,0.036990284310971754,0.034773680467264506,-0.0022166038437072474,0.0022166038437072474
customer_tenure_months,-0.009711398994148591,-0.009686562814524692,2.483617962389939e-05,2.483617962389939e-05
